Temperature (K),Pressure (atm),Density (kg/m3),Cp (J/g*K),Viscosity (Pa*s),Therm. Cond. (W/m*K)
374,1,2.733,0.2487,3.0567E-05,0.011379
375,1,2.7257,0.2487,3.0635E-05,0.011404
376,1,2.7184,0.24869,3.0704E-05,0.01143
377,1,2.7112,0.24869,3.0772E-05,0.011455
378,1,2.704,0.24869,3.084E-05,0.01148
379,1,2.6968,0.24868,3.0908E-05,0.011506
380,1,2.6897,0.24868,3.0975E-05,0.011531
381,1,2.6826,0.24867,3.1043E-05,0.011556
382,1,2.6756,0.24867,3.1111E-05,0.011581
383,1,2.6685,0.24867,3.1179E-05,0.011607
384,1,2.6616,0.24866,3.1246E-05,0.011632
385,1,2.6546,0.24866,3.1314E-05,0.011657
386,1,2.6477,0.24865,3.1381E-05,0.011682
387,1,2.6409,0.24865,3.1448E-05,0.011707
388,1,2.634,0.24865,3.1515E-05,0.011732
389,1,2.6272,0.24864,3.1583E-05,0.011757
390,1,2.6205,0.24864,3.165E-05,0.011782
391,1,2.6138,0.24864,3.1717E-05,0.011807
392,1,2.6071,0.24863,3.1784E-05,0.011832
393,1,2.6004,0.24863,3.1851E-05,0.011857
394,1,2.5938,0.24862,3.1917E-05,0.011882
395,1,2.5872,0.24862,3.1984E-05,0.011906
396,1,2.5807,0.24862,3.2051E-05,0.011931
397,1,2.5741,0.24861,3.2117E-05,0.011956
398,1,2.5676,0.24861,3.2184E-05,0.011981
399,1,2.5612,0.24861,3.225E-05,0.012006
400,1,2.5548,0.2486,3.2316E-05,0.01203
401,1,2.5484,0.2486,3.2383E-05,0.012055
402,1,2.542,0.2486,3.2449E-05,0.012079
403,1,2.5357,0.24859,3.2515E-05,0.012104
404,1,2.5294,0.24859,3.2581E-05,0.012129
405,1,2.5231,0.24859,3.2647E-05,0.012153
406,1,2.5169,0.24859,3.2713E-05,0.012178
407,1,2.5107,0.24858,3.2779E-05,0.012202
408,1,2.5045,0.24858,3.2844E-05,0.012227
409,1,2.4984,0.24858,3.291E-05,0.012251
410,1,2.4923,0.24857,3.2976E-05,0.012276
411,1,2.4862,0.24857,3.3041E-05,0.0123
412,1,2.4801,0.24857,3.3107E-05,0.012324
413,1,2.4741,0.24856,3.3172E-05,0.012349
414,1,2.4681,0.24856,3.3238E-05,0.012373
415,1,2.4622,0.24856,3.3303E-05,0.012397
416,1,2.4562,0.24856,3.3368E-05,0.012422
417,1,2.4503,0.24855,3.3433E-05,0.012446
418,1,2.4444,0.24855,3.3498E-05,0.01247
419,1,2.4386,0.24855,3.3563E-05,0.012494
420,1,2.4328,0.24854,3.3628E-05,0.012518
421,1,2.427,0.24854,3.3693E-05,0.012542
422,1,2.4212,0.24854,3.3758E-05,0.012567
423,1,2.4155,0.24854,3.3822E-05,0.012591
424,1,2.4098,0.24853,3.3887E-05,0.012615
425,1,2.4041,0.24853,3.3952E-05,0.012639
426,1,2.3984,0.24853,3.4016E-05,0.012663
427,1,2.3928,0.24853,3.4081E-05,0.012687
428,1,2.3872,0.24852,3.4145E-05,0.012711
429,1,2.3816,0.24852,3.4209E-05,0.012735
430,1,2.376,0.24852,3.4273E-05,0.012759
431,1,2.3705,0.24851,3.4338E-05,0.012782
432,1,2.365,0.24851,3.4402E-05,0.012806
433,1,2.3595,0.24851,3.4466E-05,0.01283
434,1,2.3541,0.24851,3.453E-05,0.012854
435,1,2.3487,0.2485,3.4594E-05,0.012878
436,1,2.3433,0.2485,3.4658E-05,0.012901
437,1,2.3379,0.2485,3.4721E-05,0.012925
438,1,2.3325,0.2485,3.4785E-05,0.012949
439,1,2.3272,0.2485,3.4849E-05,0.012973
440,1,2.3219,0.24849,3.4912E-05,0.012996
441,1,2.3166,0.24849,3.4976E-05,0.01302
442,1,2.3114,0.24849,3.5039E-05,0.013043
443,1,2.3062,0.24849,3.5103E-05,0.013067
444,1,2.301,0.24848,3.5166E-05,0.013091
445,1,2.2958,0.24848,3.5229E-05,0.013114
446,1,2.2906,0.24848,3.5293E-05,0.013138
447,1,2.2855,0.24848,3.5356E-05,0.013161
448,1,2.2804,0.24847,3.5419E-05,0.013185
449,1,2.2753,0.24847,3.5482E-05,0.013208
450,1,2.2702,0.24847,3.5545E-05,0.013232
451,1,2.2652,0.24847,3.5608E-05,0.013255
452,1,2.2601,0.24847,3.567E-05,0.013278
453,1,2.2551,0.24846,3.5733E-05,0.013302
454,1,2.2502,0.24846,3.5796E-05,0.013325
455,1,2.2452,0.24846,3.5859E-05,0.013348
456,1,2.2403,0.24846,3.5921E-05,0.013372
457,1,2.2354,0.24846,3.5984E-05,0.013395
458,1,2.2305,0.24845,3.6046E-05,0.013418
459,1,2.2256,0.24845,3.6109E-05,0.013441
460,1,2.2207,0.24845,3.6171E-05,0.013465
461,1,2.2159,0.24845,3.6233E-05,0.013488
462,1,2.2111,0.24845,3.6295E-05,0.013511
463,1,2.2063,0.24844,3.6358E-05,0.013534
464,1,2.2016,0.24844,3.642E-05,0.013557
465,1,2.1968,0.24844,3.6482E-05,0.01358
466,1,2.1921,0.24844,3.6544E-05,0.013603
467,1,2.1874,0.24844,3.6606E-05,0.013626
468,1,2.1827,0.24843,3.6668E-05,0.013649
469,1,2.178,0.24843,3.6729E-05,0.013672
470,1,2.1734,0.24843,3.6791E-05,0.013695
471,1,2.1688,0.24843,3.6853E-05,0.013718
472,1,2.1642,0.24843,3.6915E-05,0.013741
473,1,2.1596,0.24842,3.6976E-05,0.013764
474,1,2.155,0.24842,3.7038E-05,0.013787
475,1,2.1505,0.24842,3.7099E-05,0.01381
476,1,2.146,0.24842,3.7161E-05,0.013833
477,1,2.1414,0.24842,3.7222E-05,0.013855
478,1,2.137,0.24842,3.7283E-05,0.013878
479,1,2.1325,0.24841,3.7344E-05,0.013901
480,1,2.128,0.24841,3.7406E-05,0.013924
481,1,2.1236,0.24841,3.7467E-05,0.013947
482,1,2.1192,0.24841,3.7528E-05,0.013969
483,1,2.1148,0.24841,3.7589E-05,0.013992
484,1,2.1104,0.24841,3.765E-05,0.014015
485,1,2.1061,0.2484,3.7711E-05,0.014037
486,1,2.1017,0.2484,3.7771E-05,0.01406
487,1,2.0974,0.2484,3.7832E-05,0.014083
488,1,2.0931,0.2484,3.7893E-05,0.014105
489,1,2.0888,0.2484,3.7954E-05,0.014128
490,1,2.0845,0.2484,3.8014E-05,0.01415
491,1,2.0803,0.24839,3.8075E-05,0.014173
492,1,2.076,0.24839,3.8135E-05,0.014195
493,1,2.0718,0.24839,3.8196E-05,0.014218
494,1,2.0676,0.24839,3.8256E-05,0.01424
495,1,2.0634,0.24839,3.8317E-05,0.014263
496,1,2.0593,0.24839,3.8377E-05,0.014285
497,1,2.0551,0.24838,3.8437E-05,0.014308
498,1,2.051,0.24838,3.8497E-05,0.01433
499,1,2.0469,0.24838,3.8557E-05,0.014352
500,1,2.0428,0.24838,3.8618E-05,0.014375
501,1,2.0387,0.24838,3.8678E-05,0.014397
502,1,2.0346,0.24838,3.8738E-05,0.014419
503,1,2.0306,0.24838,3.8797E-05,0.014442
504,1,2.0265,0.24837,3.8857E-05,0.014464
505,1,2.0225,0.24837,3.8917E-05,0.014486
506,1,2.0185,0.24837,3.8977E-05,0.014508
507,1,2.0145,0.24837,3.9037E-05,0.014531
508,1,2.0106,0.24837,3.9096E-05,0.014553
509,1,2.0066,0.24837,3.9156E-05,0.014575
510,1,2.0027,0.24837,3.9215E-05,0.014597
511,1,1.9987,0.24836,3.9275E-05,0.014619
512,1,1.9948,0.24836,3.9334E-05,0.014641
513,1,1.9909,0.24836,3.9394E-05,0.014663
514,1,1.9871,0.24836,3.9453E-05,0.014685
515,1,1.9832,0.24836,3.9512E-05,0.014708
516,1,1.9793,0.24836,3.9572E-05,0.01473
517,1,1.9755,0.24836,3.9631E-05,0.014752
518,1,1.9717,0.24835,3.969E-05,0.014774
519,1,1.9679,0.24835,3.9749E-05,0.014796
520,1,1.9641,0.24835,3.9808E-05,0.014818
521,1,1.9603,0.24835,3.9867E-05,0.014839
522,1,1.9566,0.24835,3.9926E-05,0.014861
523,1,1.9528,0.24835,3.9985E-05,0.014883
524,1,1.9491,0.24835,4.0044E-05,0.014905
525,1,1.9454,0.24834,4.0103E-05,0.014927
526,1,1.9417,0.24834,4.0161E-05,0.014949
527,1,1.938,0.24834,4.022E-05,0.014971
528,1,1.9343,0.24834,4.0279E-05,0.014993
529,1,1.9306,0.24834,4.0337E-05,0.015014
530,1,1.927,0.24834,4.0396E-05,0.015036
531,1,1.9233,0.24834,4.0454E-05,0.015058
532,1,1.9197,0.24834,4.0513E-05,0.01508
533,1,1.9161,0.24833,4.0571E-05,0.015101
534,1,1.9125,0.24833,4.0629E-05,0.015123
535,1,1.909,0.24833,4.0688E-05,0.015145
536,1,1.9054,0.24833,4.0746E-05,0.015166
537,1,1.9018,0.24833,4.0804E-05,0.015188
538,1,1.8983,0.24833,4.0862E-05,0.01521
539,1,1.8948,0.24833,4.092E-05,0.015231
540,1,1.8913,0.24833,4.0978E-05,0.015253
541,1,1.8878,0.24833,4.1036E-05,0.015274
542,1,1.8843,0.24832,4.1094E-05,0.015296
543,1,1.8808,0.24832,4.1152E-05,0.015318
544,1,1.8773,0.24832,4.121E-05,0.015339
545,1,1.8739,0.24832,4.1268E-05,0.015361
546,1,1.8704,0.24832,4.1326E-05,0.015382
547,1,1.867,0.24832,4.1383E-05,0.015403
548,1,1.8636,0.24832,4.1441E-05,0.015425
549,1,1.8602,0.24832,4.1499E-05,0.015446
550,1,1.8568,0.24832,4.1556E-05,0.015468
551,1,1.8535,0.24831,4.1614E-05,0.015489
552,1,1.8501,0.24831,4.1671E-05,0.015511
553,1,1.8467,0.24831,4.1729E-05,0.015532
554,1,1.8434,0.24831,4.1786E-05,0.015553
555,1,1.8401,0.24831,4.1843E-05,0.015575
556,1,1.8368,0.24831,4.1901E-05,0.015596
557,1,1.8335,0.24831,4.1958E-05,0.015617
558,1,1.8302,0.24831,4.2015E-05,0.015638
559,1,1.8269,0.24831,4.2072E-05,0.01566
560,1,1.8236,0.2483,4.2129E-05,0.015681
561,1,1.8204,0.2483,4.2186E-05,0.015702
562,1,1.8171,0.2483,4.2243E-05,0.015723
563,1,1.8139,0.2483,4.23E-05,0.015745
564,1,1.8107,0.2483,4.2357E-05,0.015766
565,1,1.8075,0.2483,4.2414E-05,0.015787
566,1,1.8043,0.2483,4.2471E-05,0.015808
567,1,1.8011,0.2483,4.2528E-05,0.015829
568,1,1.7979,0.2483,4.2584E-05,0.01585
569,1,1.7948,0.2483,4.2641E-05,0.015871
570,1,1.7916,0.24829,4.2698E-05,0.015892
571,1,1.7885,0.24829,4.2754E-05,0.015913
572,1,1.7853,0.24829,4.2811E-05,0.015935
573,1,1.7822,0.24829,4.2867E-05,0.015956
574,1,1.7791,0.24829,4.2924E-05,0.015977
575,1,1.776,0.24829,4.298E-05,0.015998
576,1,1.7729,0.24829,4.3037E-05,0.016018
577,1,1.7698,0.24829,4.3093E-05,0.016039
578,1,1.7668,0.24829,4.3149E-05,0.01606
579,1,1.7637,0.24829,4.3206E-05,0.016081
580,1,1.7607,0.24829,4.3262E-05,0.016102
581,1,1.7576,0.24828,4.3318E-05,0.016123
582,1,1.7546,0.24828,4.3374E-05,0.016144
583,1,1.7516,0.24828,4.343E-05,0.016165
584,1,1.7486,0.24828,4.3486E-05,0.016186
585,1,1.7456,0.24828,4.3542E-05,0.016206
586,1,1.7426,0.24828,4.3598E-05,0.016227
587,1,1.7397,0.24828,4.3654E-05,0.016248
588,1,1.7367,0.24828,4.371E-05,0.016269
589,1,1.7338,0.24828,4.3766E-05,0.01629
590,1,1.7308,0.24828,4.3821E-05,0.01631
591,1,1.7279,0.24828,4.3877E-05,0.016331
592,1,1.725,0.24827,4.3933E-05,0.016352
593,1,1.722,0.24827,4.3988E-05,0.016372
594,1,1.7191,0.24827,4.4044E-05,0.016393
595,1,1.7163,0.24827,4.4099E-05,0.016414
596,1,1.7134,0.24827,4.4155E-05,0.016434
597,1,1.7105,0.24827,4.421E-05,0.016455
598,1,1.7076,0.24827,4.4266E-05,0.016476
599,1,1.7048,0.24827,4.4321E-05,0.016496
600,1,1.7019,0.24827,4.4377E-05,0.016517
601,1,1.6991,0.24827,4.4432E-05,0.016537
602,1,1.6963,0.24827,4.4487E-05,0.016558
603,1,1.6935,0.24827,4.4542E-05,0.016579
604,1,1.6907,0.24826,4.4597E-05,0.016599
605,1,1.6879,0.24826,4.4653E-05,0.01662
606,1,1.6851,0.24826,4.4708E-05,0.01664
607,1,1.6823,0.24826,4.4763E-05,0.016661
608,1,1.6795,0.24826,4.4818E-05,0.016681
609,1,1.6768,0.24826,4.4873E-05,0.016701
610,1,1.674,0.24826,4.4928E-05,0.016722
611,1,1.6713,0.24826,4.4982E-05,0.016742
612,1,1.6685,0.24826,4.5037E-05,0.016763
613,1,1.6658,0.24826,4.5092E-05,0.016783
614,1,1.6631,0.24826,4.5147E-05,0.016803
615,1,1.6604,0.24826,4.5202E-05,0.016824
616,1,1.6577,0.24826,4.5256E-05,0.016844
617,1,1.655,0.24825,4.5311E-05,0.016864
618,1,1.6523,0.24825,4.5365E-05,0.016885
619,1,1.6497,0.24825,4.542E-05,0.016905
620,1,1.647,0.24825,4.5474E-05,0.016925
621,1,1.6443,0.24825,4.5529E-05,0.016946
622,1,1.6417,0.24825,4.5583E-05,0.016966
623,1,1.6391,0.24825,4.5638E-05,0.016986
624,1,1.6364,0.24825,4.5692E-05,0.017006
625,1,1.6338,0.24825,4.5746E-05,0.017026
626,1,1.6312,0.24825,4.5801E-05,0.017047
627,1,1.6286,0.24825,4.5855E-05,0.017067
628,1,1.626,0.24825,4.5909E-05,0.017087
629,1,1.6234,0.24825,4.5963E-05,0.017107
630,1,1.6208,0.24825,4.6017E-05,0.017127
631,1,1.6183,0.24824,4.6071E-05,0.017147
632,1,1.6157,0.24824,4.6125E-05,0.017167
633,1,1.6131,0.24824,4.6179E-05,0.017187
634,1,1.6106,0.24824,4.6233E-05,0.017208
635,1,1.6081,0.24824,4.6287E-05,0.017228
636,1,1.6055,0.24824,4.6341E-05,0.017248
637,1,1.603,0.24824,4.6395E-05,0.017268
638,1,1.6005,0.24824,4.6449E-05,0.017288
639,1,1.598,0.24824,4.6502E-05,0.017308
640,1,1.5955,0.24824,4.6556E-05,0.017328
641,1,1.593,0.24824,4.661E-05,0.017348
