Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
212.00	1.0000	4.8458	0.20636	109.87	130.78	1.0416	0.14960	0.25111	186.79	2.6293	1.8257e-05	0.0067708	vapor
213.00	1.0000	4.8226	0.20736	110.02	131.04	1.0428	0.14958	0.25107	187.24	2.6076	1.8341e-05	0.0068028	vapor
214.00	1.0000	4.7997	0.20835	110.18	131.29	1.0439	0.14957	0.25102	187.68	2.5863	1.8425e-05	0.0068348	vapor
215.00	1.0000	4.7770	0.20934	110.33	131.54	1.0451	0.14955	0.25098	188.13	2.5653	1.8509e-05	0.0068667	vapor
216.00	1.0000	4.7545	0.21033	110.48	131.79	1.0463	0.14954	0.25094	188.57	2.5445	1.8593e-05	0.0068985	vapor
217.00	1.0000	4.7323	0.21132	110.63	132.04	1.0474	0.14953	0.25090	189.02	2.5241	1.8677e-05	0.0069303	vapor
218.00	1.0000	4.7102	0.21231	110.78	132.29	1.0486	0.14951	0.25086	189.46	2.5039	1.8761e-05	0.0069620	vapor
219.00	1.0000	4.6883	0.21329	110.93	132.54	1.0497	0.14950	0.25082	189.90	2.4840	1.8845e-05	0.0069937	vapor
220.00	1.0000	4.6667	0.21428	111.08	132.79	1.0509	0.14949	0.25078	190.34	2.4644	1.8928e-05	0.0070254	vapor
221.00	1.0000	4.6453	0.21527	111.23	133.04	1.0520	0.14947	0.25074	190.78	2.4450	1.9012e-05	0.0070570	vapor
222.00	1.0000	4.6240	0.21626	111.38	133.29	1.0531	0.14946	0.25071	191.22	2.4260	1.9095e-05	0.0070885	vapor
223.00	1.0000	4.6030	0.21725	111.53	133.54	1.0543	0.14945	0.25067	191.66	2.4071	1.9178e-05	0.0071200	vapor
224.00	1.0000	4.5821	0.21824	111.68	133.79	1.0554	0.14944	0.25063	192.09	2.3885	1.9262e-05	0.0071514	vapor
225.00	1.0000	4.5614	0.21923	111.83	134.04	1.0565	0.14943	0.25060	192.53	2.3702	1.9345e-05	0.0071828	vapor
226.00	1.0000	4.5409	0.22022	111.98	134.30	1.0576	0.14942	0.25057	192.96	2.3521	1.9428e-05	0.0072142	vapor
227.00	1.0000	4.5206	0.22121	112.13	134.55	1.0587	0.14940	0.25053	193.40	2.3342	1.9510e-05	0.0072455	vapor
228.00	1.0000	4.5005	0.22220	112.28	134.80	1.0598	0.14939	0.25050	193.83	2.3166	1.9593e-05	0.0072767	vapor
229.00	1.0000	4.4806	0.22318	112.43	135.05	1.0609	0.14938	0.25047	194.26	2.2992	1.9676e-05	0.0073079	vapor
230.00	1.0000	4.4608	0.22417	112.58	135.30	1.0620	0.14937	0.25044	194.69	2.2820	1.9758e-05	0.0073391	vapor
231.00	1.0000	4.4413	0.22516	112.73	135.55	1.0631	0.14936	0.25041	195.12	2.2651	1.9841e-05	0.0073702	vapor
232.00	1.0000	4.4219	0.22615	112.88	135.80	1.0642	0.14935	0.25038	195.55	2.2483	1.9923e-05	0.0074012	vapor
233.00	1.0000	4.4026	0.22714	113.03	136.05	1.0653	0.14935	0.25035	195.97	2.2318	2.0005e-05	0.0074322	vapor
234.00	1.0000	4.3836	0.22812	113.18	136.30	1.0663	0.14934	0.25032	196.40	2.2154	2.0088e-05	0.0074632	vapor
235.00	1.0000	4.3647	0.22911	113.33	136.55	1.0674	0.14933	0.25029	196.83	2.1993	2.0170e-05	0.0074941	vapor
236.00	1.0000	4.3459	0.23010	113.48	136.80	1.0685	0.14932	0.25026	197.25	2.1834	2.0252e-05	0.0075250	vapor
237.00	1.0000	4.3274	0.23109	113.63	137.05	1.0695	0.14931	0.25023	197.67	2.1676	2.0333e-05	0.0075558	vapor
238.00	1.0000	4.3089	0.23208	113.78	137.30	1.0706	0.14930	0.25021	198.09	2.1521	2.0415e-05	0.0075865	vapor
239.00	1.0000	4.2907	0.23306	113.94	137.55	1.0716	0.14929	0.25018	198.52	2.1367	2.0497e-05	0.0076173	vapor
240.00	1.0000	4.2726	0.23405	114.09	137.80	1.0727	0.14929	0.25015	198.94	2.1216	2.0578e-05	0.0076479	vapor
241.00	1.0000	4.2546	0.23504	114.24	138.05	1.0737	0.14928	0.25013	199.36	2.1066	2.0660e-05	0.0076785	vapor
242.00	1.0000	4.2368	0.23603	114.39	138.30	1.0747	0.14927	0.25010	199.77	2.0918	2.0741e-05	0.0077091	vapor
243.00	1.0000	4.2192	0.23701	114.54	138.55	1.0758	0.14926	0.25008	200.19	2.0771	2.0822e-05	0.0077397	vapor
244.00	1.0000	4.2017	0.23800	114.69	138.80	1.0768	0.14926	0.25006	200.61	2.0627	2.0903e-05	0.0077701	vapor
245.00	1.0000	4.1843	0.23899	114.84	139.05	1.0778	0.14925	0.25003	201.02	2.0484	2.0984e-05	0.0078006	vapor
246.00	1.0000	4.1671	0.23997	114.99	139.30	1.0788	0.14924	0.25001	201.44	2.0342	2.1065e-05	0.0078310	vapor
247.00	1.0000	4.1501	0.24096	115.14	139.55	1.0798	0.14924	0.24999	201.85	2.0203	2.1146e-05	0.0078613	vapor
248.00	1.0000	4.1331	0.24195	115.29	139.80	1.0809	0.14923	0.24996	202.26	2.0064	2.1227e-05	0.0078916	vapor
