Temperature (K),Pressure (atm),Density (kg/m3),Cp (J/g*K),Viscosity (Pa*s),Therm. Cond. (W/m*K)
531.00,1.00,0.91663,0.52065,3.5568E-05,0.027774
532.00,1.00,0.9149,0.52065,3.5618E-05,0.027813
533.00,1.00,0.91319,0.52064,3.5668E-05,0.027852
534.00,1.00,0.91148,0.52064,3.5718E-05,0.027891
535.00,1.00,0.90977,0.52064,3.5767E-05,0.027929
536.00,1.00,0.90807,0.52064,3.5817E-05,0.027968
537.00,1.00,0.90638,0.52064,3.5867E-05,0.028007
538.00,1.00,0.9047,0.52064,3.5917E-05,0.028046
539.00,1.00,0.90302,0.52064,3.5966E-05,0.028085
540.00,1.00,0.90134,0.52064,3.6016E-05,0.028123
541.00,1.00,0.89968,0.52063,3.6066E-05,0.028162
542.00,1.00,0.89802,0.52063,3.6115E-05,0.028201
543.00,1.00,0.89636,0.52063,3.6165E-05,0.028239
544.00,1.00,0.89471,0.52063,3.6214E-05,0.028278
545.00,1.00,0.89307,0.52063,3.6264E-05,0.028316
546.00,1.00,0.89144,0.52063,3.6313E-05,0.028355
