Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
180.00	1.0000	2.7157	0.36823	55.868	93.180	3.6091	0.31309	0.52478	249.56	1.6157	1.4491e-05	0.011325	vapor
181.00	1.0000	2.7005	0.37030	56.183	93.704	3.6120	0.31308	0.52471	250.26	1.6006	1.4565e-05	0.011383	vapor
182.00	1.0000	2.6855	0.37238	56.498	94.229	3.6149	0.31306	0.52465	250.96	1.5857	1.4639e-05	0.011441	vapor
183.00	1.0000	2.6706	0.37445	56.813	94.754	3.6178	0.31305	0.52458	251.66	1.5711	1.4713e-05	0.011498	vapor
184.00	1.0000	2.6559	0.37652	57.128	95.278	3.6206	0.31303	0.52452	252.35	1.5567	1.4787e-05	0.011556	vapor
185.00	1.0000	2.6414	0.37859	57.442	95.803	3.6235	0.31302	0.52446	253.05	1.5424	1.4860e-05	0.011614	vapor
186.00	1.0000	2.6270	0.38066	57.757	96.327	3.6263	0.31300	0.52440	253.74	1.5284	1.4934e-05	0.011671	vapor
187.00	1.0000	2.6128	0.38273	58.072	96.852	3.6291	0.31299	0.52434	254.42	1.5146	1.5007e-05	0.011728	vapor
188.00	1.0000	2.5988	0.38480	58.386	97.376	3.6319	0.31297	0.52429	255.11	1.5010	1.5081e-05	0.011786	vapor
189.00	1.0000	2.5849	0.38687	58.701	97.900	3.6347	0.31296	0.52423	255.80	1.4876	1.5154e-05	0.011843	vapor
190.00	1.0000	2.5711	0.38894	59.015	98.424	3.6375	0.31295	0.52417	256.48	1.4743	1.5227e-05	0.011900	vapor
191.00	1.0000	2.5575	0.39101	59.330	98.948	3.6402	0.31293	0.52412	257.16	1.4613	1.5300e-05	0.011957	vapor
192.00	1.0000	2.5440	0.39308	59.644	99.473	3.6430	0.31292	0.52407	257.84	1.4484	1.5373e-05	0.012014	vapor
